# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
  362       8.355521909030e-16       1.997965015202e-15       7.923740391984e-15 
  363       8.280393655178e-16       1.980521942307e-15       7.855026785888e-15 
  364       8.206144471808e-16       1.963280991821e-15       7.787120936704e-15 
  365       8.132767641799e-16       1.946240626881e-15       7.720016540590e-15 
  366       8.060255855638e-16       1.929399173717e-15       7.653706745428e-15 
  367       7.988601206080e-16       1.912754820421e-15       7.588184145887e-15 
  368       7.917795182814e-16       1.896305615707e-15       7.523440778493e-15 
  369       7.847828667131e-16       1.880049467679e-15       7.459468116692e-15 
  370       7.778691926585e-16       1.863984142598e-15       7.396257065915e-15 
  371       7.710374609660e-16       1.848107263642e-15       7.333797958649e-15 
  372       7.642865740435e-16       1.832416309678e-15       7.272080549500e-15 
  373       7.576153713252e-16       1.816908614022e-15       7.211094010260e-15 
  374       7.510226287375e-16       1.801581363208e-15       7.150826924973e-15 
  375       7.445070581660e-16       1.786431595749e-15       7.091267285001e-15 
  376       7.380673069219e-16       1.771456200907e-15       7.032402484091e-15 
